date,wsj_mean_compound,reuters_mean_compound,cnbc_mean_compound,bloomberg_mean_compound,adj close
11/15/21,-0.00545,-0.0002454,-0.0004047,-0.2182333,1
11/16/21,0.0337143,0.0000739,0.3953,-0.1833091,-1
11/17/21,-0.0544769,0.1193,-0.31245,-0.0251625,-1
11/18/21,-0.0084273,0.1344333,0.100475,0.05175,-1
11/19/21,0.08285,0.06532,0.1973571,0.3041667,-1
11/22/21,-0.1363667,0.0591,0.1858,-0.1288667,-1
11/23/21,0.12738,0.0592,0.2754,0.0585667,1
11/24/21,-0.1804,-0.0972,-0.2247,0.00205,-1
11/26/21,-0.0516,-0.0762571,-0.0589143,-0.1771833,-1
11/29/21,-0.0013286,-0.0002526,-0.0918,-0.0192714,-1
11/30/21,-0.1628857,0.1835143,-0.06165,-0.0509909,-1
12/1/21,-0.0033556,0.17914,-0.0270444,0.0685,1
12/2/21,0.0456833,0.0380857,-0.19218,0.08244,-1
12/3/21,0.0513125,-0.0860857,-0.0000052,-0.0879444,1
12/6/21,0.0527692,0.0260625,0.0596333,0.0001964,1
12/7/21,-0.29692,-0.1054857,0.176725,-0.1844778,-1
12/8/21,-0.0200429,-0.2250333,0.0674333,0.0781333,-1
12/9/21,-0.1416,-0.0137444,0.0674333,-0.0004752,-1
12/10/21,0.2318125,-0.03025,0.0000105,-0.1236667,-1
12/13/21,-0.0465833,-0.0303778,-0.0789,0.1187,1
12/14/21,-0.0393769,-0.0225909,0.0881667,-0.087,1
12/15/21,-0.09875,-0.2672,-0.0005411,-0.0188,-1
12/16/21,0.0726273,0.0026154,-0.20382,0.07965,-1
12/17/21,0.041275,-0.1687667,-0.2212,-0.0887571,-1
12/20/21,-0.06982,-0.2234455,-0.0007049,0.0735833,1
12/21/21,0.0682875,0.1409778,0.1474,0.282475,1
12/22/21,0.0582125,0.1047545,0.3858667,-0.311275,1
12/23/21,0.1795667,-0.1044091,0.050575,-0.0603667,1
12/27/21,0.20606,0.03436,0.0000334,-0.16766,-1
12/28/21,-0.1094222,0.0796,0.41355,-0.1133333,-1
12/29/21,0.1593429,0.18505,-0.0398889,-0.28595,-1
12/30/21,-0.0806333,0.1109,0.14435,0.38565,1
12/31/21,0,0,0,0,-1
1/3/22,0.0823222,0.1427222,0.24265,0.0643125,-1
1/4/22,0.0734,0.291,-0.0424222,0.08696,-1
1/5/22,0.1071,-0.13173,-0.16766,-0.0063042,1
1/6/22,0.1300333,0.1428167,0.20356,-0.00628,-1
1/7/22,-0.17304,0.0636071,-0.057275,0.052675,-1
1/10/22,0.0056917,0.060975,0.1469,0.0031059,1
1/11/22,0.1961,-0.0809286,-0.0416,-0.1476,-1
1/12/22,-0.0531125,0.0327,0.050575,0.26335,-1
1/13/22,-0.0823167,0.1175,0.42518,0.07696,1
1/14/22,0.0786778,-0.2284667,-0.132475,-0.1366,-1
1/18/22,-0.0544455,0.0620125,-0.0592,0.1630667,-1
1/19/22,0.09253,-0.0654727,-0.184925,0.05898,-1
1/20/22,-0.0837667,0.06528,-0.1897333,0.10004,-1
1/21/22,0.1307583,-0.07971,-0.2470143,0.2214833,-1
1/24/22,0.0648167,-0.1092077,-0.0290813,-0.0344,-1
1/25/22,0.0057583,-0.06971,0.029375,0.016425,-1
1/26/22,0.0644444,0.02919,0.175425,-0.0416667,-1
1/27/22,-0.0703167,-0.0573364,-0.0064429,0.29545,1
1/28/22,0.144775,0.14595,-0.05274,0.0076026,1
1/31/22,0.0778,-0.0033375,-0.1942333,-0.4398667,-1
2/1/22,0.1476818,-0.0332231,-0.02456,0.1136143,-1
2/2/22,0.0634667,0.04541,0.0414143,0.24825,-1
2/3/22,0.1265636,0.0083333,0.0593833,0.02755,1
2/4/22,-0.1905875,0.0446857,0.1060667,-0.1702,-1
2/7/22,0.0181667,0.0180727,0.0342333,0.085,1
2/8/22,-0.0122571,0.1901286,-0.2553,0.0429,1
2/9/22,-0.0979222,0.24463,0.0862833,0.0078,1
2/10/22,0.1139333,-0.1374667,0.26335,0.1526333,-1
2/11/22,0.0483727,-0.2114462,-0.0986667,-0.00755,-1
2/14/22,0.0639,-0.1558,-0.119175,-0.3291,1
